city;city_ascii;lat;lng
Warsaw;Warsaw;52,23;21,0111
Kraków;Krakow;50,0614;19,9372
Wroc³aw;Wroclaw;51,11;17,0325
£ódŸ;Lodz;51,7769;19,4547
Poznañ;Poznan;52,4083;16,9336
Gdañsk;Gdansk;54,3475;18,6453
Szczecin;Szczecin;53,4325;14,5481
Bydgoszcz;Bydgoszcz;53,1219;18,0003
Lublin;Lublin;51,25;22,5667
Bia³ystok;Bialystok;53,1353;23,1456
Katowice;Katowice;50,2625;19,0217
Gdynia;Gdynia;54,5175;18,54
Zielona Góra;Zielona Gora;51,9333;15,5
Czêstochowa;Czestochowa;50,8;19,1167
Radom;Radom;51,4036;21,1567
Toruñ;Torun;53,0222;18,6111
Rzeszów;Rzeszow;50,0333;22
Sosnowiec;Sosnowiec;50,2833;19,1333
Kielce;Kielce;50,8742;20,6333
Gliwice;Gliwice;50,2833;18,6667
Olsztyn;Olsztyn;53,7778;20,4792
Bielsko-Bia³a;Bielsko-Biala;49,8225;19,0444
Zabrze;Zabrze;50,3025;18,7781
Bytom;Bytom;50,3483;18,9156
Ruda Œl¹ska;Ruda Slaska;50,2628;18,8536
Rybnik;Rybnik;50,0833;18,55
Opole;Opole;50,6667;17,9333
Tychy;Tychy;50,1236;18,9867
Gorzów Wielkopolski;Gorzow Wielkopolski;52,7333;15,25
D¹browa Górnicza;Dabrowa Gornicza;50,3214;19,1872
Elbl¹g;Elblag;54,1667;19,4
P³ock;Plock;52,55;19,7
Tarnów;Tarnow;50,0125;20,9886
Koszalin;Koszalin;54,2;16,1833
W³oc³awek;Wloclawek;52,6592;19,0681
Wa³brzych;Walbrzych;50,7667;16,2833
Chorzów;Chorzow;50,3;18,95
Kalisz;Kalisz;51,7575;18,08
Legnica;Legnica;51,2083;16,1603
Grudzi¹dz;Grudziadz;53,4875;18,755
Jaworzno;Jaworzno;50,2044;19,27
S³upsk;Slupsk;54,4658;17,0292
Jastrzêbie-Zdrój;Jastrzebie-Zdroj;49,95;18,5833
Nowy S¹cz;Nowy Sacz;49,6239;20,6972
Skar¿ysko-Kamienna;Skarzysko-Kamienna;51,1167;20,9167
Jelenia Góra;Jelenia Gora;50,9033;15,7344
Siedlce;Siedlce;52,165;22,2714
Mys³owice;Myslowice;50,2333;19,1333
Pi³a;Pila;53,15;16,7333
Ostrów Wielkopolski;Ostrow Wielkopolski;51,6494;17,8164
Lubin;Lubin;51,4;16,2
Konin;Konin;52,2167;18,2667
Inowroc³aw;Inowroclaw;52,7931;18,2611
Piotrków Trybunalski;Piotrkow Trybunalski;51,4;19,6833
Suwa³ki;Suwalki;54,0989;22,9286
Stargard Szczeciñski;Stargard Szczecinski;53,3333;15,0333
Gniezno;Gniezno;52,5358;17,5958
Pruszków;Pruszkow;52,1667;20,8
Ostrowiec Œwiêtokrzyski;Ostrowiec Swietokrzyski;50,9333;21,4
Siemianowice Œl¹skie;Siemianowice Slaskie;50,2758;18,9858
G³ogów;Glogow;51,6589;16,0803
Pabianice;Pabianice;51,65;19,3833
¯ory;Zory;50,05;18,7
Leszno;Leszno;51,8458;16,5806
Tarnowskie Góry;Tarnowskie Gory;50,4444;18,8583
£om¿a;Lomza;53,1764;22,0731
E³k;Elk;53,8214;22,3622
Zamoœæ;Zamosc;50,7167;23,2528
Che³m;Chelm;51,1322;23,4778
Tomaszów Mazowiecki;Tomaszow Mazowiecki;51,5167;20,0167
Przemyœl;Przemysl;49,7833;22,7667
Mielec;Mielec;50,2833;21,4333
Tczew;Tczew;54,0875;18,7972
Stalowa Wola;Stalowa Wola;50,5667;22,05
Kêdzierzyn-KoŸle;Kedzierzyn-Kozle;50,35;18,2
Bêdzin;Bedzin;50,3333;19,1167
Bia³a Podlaska;Biala Podlaska;52,0333;23,1167
Zgierz;Zgierz;51,85;19,4167
Œwidnica;Swidnica;50,85;16,4833
Be³chatów;Belchatow;51,3667;19,3667
Legionowo;Legionowo;52,4;20,8833
Piekary Œl¹skie;Piekary Slaskie;50,3833;18,95
Piaseczno;Piaseczno;52,0667;21,0167
Rumia;Rumia;54,5667;18,4
Racibórz;Raciborz;50,0833;18,2333
Ostro³êka;Ostroleka;53,0667;21,5667
Zawiercie;Zawiercie;50,5;19,4167
Wejherowo;Wejherowo;54,6;18,25
Œwiêtoch³owice;Swietochlowice;50,2919;18,9178
Skierniewice;Skierniewice;51,9528;20,1417
Starogard Gdañski;Starogard Gdanski;53,9667;18,5333
Starachowice;Starachowice;51,05;21,0667
Wodzis³aw Œl¹ski;Wodzislaw Slaski;50;18,45
Pu³awy;Pulawy;51,4167;21,9667
Krosno;Krosno;49,6833;21,75
Tarnobrzeg;Tarnobrzeg;50,5833;21,6833
Otwock;Otwock;52,1167;21,2667
Radomsko;Radomsko;51,0667;19,45
Ko³obrzeg;Kolobrzeg;54,1761;15,5761
Dêbica;Debica;50,05;21,4167
Z¹bki;Zabki;52,2928;21,1161
Ciechanów;Ciechanow;52,8667;20,6333
Kutno;Kutno;52,2333;19,3667
Marki;Marki;52,3333;21,1
Nysa;Nysa;50,4714;17,3339
Miko³ów;Mikolow;50,1667;18,9
Miñsk Mazowiecki;Minsk Mazowiecki;52,1833;21,5667
Œwinoujœcie;Swinoujscie;53,9167;14,25
Sieradz;Sieradz;51,6;18,75
¯yrardów;Zyrardow;52,05;20,4333
Chojnice;Chojnice;53,7;17,55
Szczecinek;Szczecinek;53,7167;16,6833
Œwidnik;Swidnik;51,2167;22,7
Kwidzyn;Kwidzyn;53,7358;18,9308
Malbork;Malbork;54,0333;19,0333
Boles³awiec;Boleslawiec;51,2667;15,5667
Oœwiêcim;Oswiecim;50,0381;19,2214
Nowa Sól;Nowa Sol;51,8;15,7167
Knurów;Knurow;50,2167;18,6833
Wo³omin;Wolomin;52,35;21,2333
Jaros³aw;Jaroslaw;50,0186;22,6797
¯ary;Zary;51,6333;15,1333
Oleœnica;Olesnica;51,2;17,3833
Sanok;Sanok;49,55;22,2167
Czechowice-Dziedzice;Czechowice-Dziedzice;49,9131;19,0064
Chrzanów;Chrzanow;50,1333;19,4
Lêbork;Lebork;54,55;17,75
Brzeg;Brzeg;50,8667;17,4833
Sochaczew;Sochaczew;52,2333;20,2333
Podgórze;Podgorze;50,0417;19,9833
Cieszyn;Cieszyn;49,7484;18,6332
Jas³o;Jaslo;49,7478;21,4714
Grodzisk Mazowiecki;Grodzisk Mazowiecki;52,1089;20,625
Olkusz;Olkusz;50,2833;19,5667
Nowy Targ;Nowy Targ;49,4667;20,0167
O³awa;Olawa;50,9333;17,3
Luboñ;Lubon;52,3333;16,8833
Sopot;Sopot;54,4333;18,55
I³awa;Ilawa;53,5964;19,5656
Kraœnik;Krasnik;50,9167;22,2167
Wrzeœnia;Wrzesnia;52,3333;17,5833
Dzier¿oniów;Dzierzoniow;50,7281;16,6511
Pruszcz Gdañski;Pruszcz Gdanski;54,2667;18,6333
M³awa;Mlawa;53,1167;20,3667
CzeladŸ;Czeladz;50,3333;19,0833
Police;Police;53,5333;14,5667
Myszków;Myszkow;50,5706;19,3144
¯ywiec;Zywiec;49,6892;19,2058
Rury;Rury;51,2386;22,5164
Zgorzelec;Zgorzelec;51,15;15,0083
Augustów;Augustow;53,8436;22,9794
Swarzêdz;Swarzedz;52,4083;17,0714
Bochnia;Bochnia;49,9833;20,4333
Bielawa;Bielawa;50,7;16,6167
Œrem;Srem;52,0886;17,0147
Krotoszyn;Krotoszyn;51,6833;17,4333
Nowy Dwór Mazowiecki;Nowy Dwor Mazowiecki;52,4333;20,7167
Brodnica;Brodnica;53,2597;19,3956
Gi¿ycko;Gizycko;54,04;21,7589
Reda;Reda;54,6167;18,35
£uków;Lukow;51,9272;22,3833
Koby³ka;Kobylka;52,3333;21,2
£owicz;Lowicz;52,1;19,9333
Wieliczka;Wieliczka;49,9894;20,0661
Jarocin;Jarocin;51,9667;17,5
Gorlice;Gorlice;49,6547;21,1597
Wyszków;Wyszkow;52,5928;21,4584
Kêtrzyn;Ketrzyn;54,0833;21,3833
Halemba;Halemba;50,2378;18,8633
W¹growiec;Wagrowiec;52,8;17,2
Zakopane;Zakopane;49,3;19,95
K³odzko;Klodzko;50,4333;16,65
Pszczyna;Pszczyna;49,9833;18,95
Bi³goraj;Bilgoraj;50,55;22,7333
Turek;Turek;52,0167;18,5
Œwiecie;Swiecie;53,4167;18,4333
Bielsk Podlaski;Bielsk Podlaski;52,7667;23,2
¯agañ;Zagan;51,6167;15,3167
Œroda Wielkopolska;Sroda Wielkopolska;52,2333;17,2833
Skawina;Skawina;49,9833;19,8333
Wa³cz;Walcz;53,2667;16,4667
Koœcian;Koscian;52,0833;16,65
Koœcierzyna;Koscierzyna;54,1167;17,9833
Lubliniec;Lubliniec;50,6833;18,6833
Piastów;Piastow;52,1833;20,85
Bia³ogard;Bialogard;54;15,9833
Zduñska Wola;Zdunska Wola;51,6;18,9667
Kluczbork;Kluczbork;50,9833;18,2167
Szczytno;Szczytno;53,5628;20,9853
Bartoszyce;Bartoszyce;54,25;20,8
Œwiebodzice;Swiebodzice;50,8667;16,3333
Sandomierz;Sandomierz;50,6833;21,75
Goleniów;Goleniow;53,5636;14,8281
Aleksandrów £ódzki;Aleksandrow Lodzki;51,8194;19,3039
Ostrów Mazowiecka;Ostrow Mazowiecka;52,8;21,9
P³oñsk;Plonsk;52,6333;20,3833
Polkowice;Polkowice;51,5;16,0667
Orzesze;Orzesze;50,15;18,75
£aziska Górne;Laziska Gorne;50,15;18,85
Jawor;Jawor;51,05;16,2
Œwiedbodzin;Swiedbodzin;52,25;15,5333
Grajewo;Grajewo;53,65;22,45
Zambrów;Zambrow;52,9833;22,25
Mr¹gowo;Mragowo;53,8667;21,3
Wieluñ;Wielun;51,2206;18,57
Nowa Ruda;Nowa Ruda;50,5833;16,5
Sulejówek;Sulejowek;52,2442;21,28
Józefów;Jozefow;52,1356;21,2369
Dzia³dowo;Dzialdowo;53,2333;20,1833
Lubartów;Lubartow;51,4667;22,6
Ko³o;Kolo;52,2;18,6333
Rawicz;Rawicz;51,6092;16,8575
Gryfino;Gryfino;53,2531;14,4875
Gostyñ;Gostyn;51,8792;17,0125
Lubañ;Luban;51,1181;15,2889
Prudnik;Prudnik;50,3228;17,5767
Opoczno;Opoczno;51,3772;20,2869
Hajnówka;Hajnowka;52,7333;23,5667
Bieruñ;Bierun;50,1333;19,1
Pu³tusk;Pultusk;52,7;21,0833
Andrychów;Andrychow;49,855;19,3414
Trzebinia;Trzebinia;50,1667;19,4833
Bieruñ Stary;Bierun Stary;50,0897;19,0928
Konstantynów £ódzki;Konstantynow Lodzki;51,75;19,3333
Che³mno;Chelmno;53,3492;18,4231
Z³otów;Zlotow;53,3603;17,0408
Ozorków;Ozorkow;51,9667;19,2833
Szamotu³y;Szamotuly;52,6;16,5833
Tomaszów Lubelski;Tomaszow Lubelski;50,45;23,4167
Soko³ów Podlaski;Sokolow Podlaski;52,4067;22,2464
Giszowiec;Giszowiec;50,2236;19,0694
Pisz;Pisz;53,6167;21,8
£êczna;Leczna;51,3;22,8833
Zielonka;Zielonka;52,3008;21,1586
Koñskie;Konskie;51,2;20,4167
£omianki;Lomianki;52,3333;20,8833
Kêty;Kety;49,9;19,2167
Myœlenice;Myslenice;49,8347;19,9389
Chodzie¿;Chodziez;52,9833;16,9
Jasien;Jasien;54,3667;18,6333
Kamienna Góra;Kamienna Gora;50,7833;16,0333
Wadowice;Wadowice;49,8833;19,5
Kostrzyn nad Odr¹;Kostrzyn nad Odra;52,5883;14,6667
£añcut;Lancut;50,0667;22,2333
Oborniki;Oborniki;52,65;16,8167
Gostynin;Gostynin;52,4167;19,4667
Nak³o nad Noteci¹;Naklo nad Notecia;53,1403;17,5928
Sokó³ka;Sokolka;53,4;23,5
Krasnystaw;Krasnystaw;51;23,1667
Strzelce Opolskie;Strzelce Opolskie;50,5;18,2833
Miêdzyrzecz;Miedzyrzecz;52,4483;15,5883
Pyskowice;Pyskowice;50,3833;18,6167
Sierpc;Sierpc;52,8833;19,6667
Garwolin;Garwolin;51,9;21,6333
Konstancin-Jeziorna;Konstancin-Jeziorna;52,0833;21,1167
Grójec;Grojec;51,8656;20,8675
Namys³ów;Namyslow;51,0728;17,7069
Pleszew;Pleszew;51,8833;17,7833
Hrubieszów;Hrubieszow;50,8167;23,8833
Trzcianka;Trzcianka;53,05;16,4667
Pionki;Pionki;51,4833;21,45
Bytów;Bytow;54,1333;17,5
Przasnysz;Przasnysz;53,0167;20,8833
Bogatynia;Bogatynia;50,9069;14,9569
£ask;Lask;51,5903;19,1333
Bogucice;Bogucice;50,2668;19,0397
S³ubice;Slubice;52,35;14,5667
Milanówek;Milanowek;52,1167;20,65
Braniewo;Braniewo;54,3833;19,8333
Rawa Mazowiecka;Rawa Mazowiecka;51,7658;20,2533
Libi¹¿;Libiaz;50,1;19,3167
Radzionków Nowy;Radzionkow Nowy;50,3833;18,8833
Brzesko;Brzesko;49,9667;20,6167
Kozienice;Kozienice;51,5833;21,5667
Ustroñ;Ustron;49,7194;18,8119
Gubin;Gubin;51,95;14,7167
Nowogard;Nowogard;53,6667;15,1167
Olecko;Olecko;54,0333;22,5
Czernica;Czernica;51,0464;17,2439
Sulechów;Sulechow;52,0833;15,6167
Gryfice;Gryfice;53,9147;15,1986
Osowa;Osowa;54,4272;18,4708
Rypin;Rypin;53,0667;19,45
Miêdzyrzec Podlaski;Miedzyrzec Podlaski;51,9833;22,7833
Ropczyce;Ropczyce;50,0861;21,6333
Krapkowice;Krapkowice;50,4667;17,9667
Niepo³omice;Niepolomice;50,0339;20,2172
Solec Kujawski;Solec Kujawski;53,0833;18,2333
Jelcz-Laskowice;Jelcz-Laskowice;51,0333;17,3333
Strzegom;Strzegom;50,9611;16,3444
Grodzisk Wielkopolski;Grodzisk Wielkopolski;52,2333;16,3667
Busko-Zdrój;Busko-Zdroj;50,4667;20,7167
Œwidwin;Swidwin;53,7833;15,7667
Przeworsk;Przeworsk;50,0667;22,5
Lidzbark Warmiñski;Lidzbark Warminski;54,1167;20,5833
Nisko;Nisko;50,52;22,1394
Józefos³aw;Jozefoslaw;52,1069;21,0392
Radzyñ Podlaski;Radzyn Podlaski;51,7828;22,6242
Dêblin;Deblin;51,5667;21,8614
£apy;Lapy;52,9833;22,8833
Z³otoryja;Zlotoryja;51,1333;15,9167
Boguszów-Gorce;Boguszow-Gorce;50,7667;16,2
Limanowa;Limanowa;49,7006;20,4267
Jêdrzejów;Jedrzejow;50,6333;20,3
Z¹bkowice Œl¹skie;Zabkowice Slaskie;50,5833;16,8167
Mosina;Mosina;52,2467;16,845
Brwinów;Brwinow;52,1417;20,7167
Choszczno;Choszczno;53,1667;15,4
O¿arów Mazowiecki;Ozarow Mazowiecki;52,2167;20,8
Ustka;Ustka;54,5833;16,85
Radzymin;Radzymin;52,4167;21,1833
Bia³y Kamieñ;Bialy Kamien;50,7814;16,2539
Kartuzy;Kartuzy;54,3333;18,2
Plewiska;Plewiska;52,3664;16,8089
Staszów;Staszow;50,5633;21,1717
Nowy Tomyœl;Nowy Tomysl;52,3167;16,1333
Che³m¿a;Chelmza;53,1847;18,6042
Ostrzeszów;Ostrzeszow;51,4167;17,9333
Kêpno;Kepno;51,2833;17,9833
Skoczów;Skoczow;49,8006;18,7883
Siemiatycze;Siemiatycze;52,4272;22,8625
Lipno;Lipno;52,85;19,1667
Trzebnica;Trzebnica;51,305;17,0614
£êczyca;Leczyca;52,05;19,2
Wschowa;Wschowa;51,8;16,3
G³owno;Glowno;51,9642;19,7117
Tuchola;Tuchola;53,6;17,85
Zawodzie;Zawodzie;50,2585;19,0449
Go³dap;Goldap;54,3161;22,3094
S³upca;Slupca;52,3;17,8667
Cz³uchów;Czluchow;53,65;17,3667
Barlinek;Barlinek;53;15,2
Mor¹g;Morag;53,9167;19,9333
W¹brzeŸno;Wabrzezno;53,2833;18,95
Dêbno;Debno;52,7333;14,7
¯nin;Znin;52,85;17,7
Lubsko;Lubsko;51,7833;14,9667
Le¿ajsk;Lezajsk;50,2667;22,4333
G³ucho³azy;Glucholazy;50,3131;17,3742
Kozy;Kozy;49,845;19,1417
Dar³owo;Darlowo;54,4208;16,4097
Nidzica;Nidzica;53,3583;20,425
Sidlice;Sidlice;54,3471;18,6171
Chojnów;Chojnow;51,2667;15,9333
Brzeg Dolny;Brzeg Dolny;51,2708;16,7208
Koch³owice;Kochlowice;50,2538;18,9015
Chropaczów;Chropaczow;50,3131;18,915
K³obuck;Klobuck;50,9167;18,9333
Wolsztyn;Wolsztyn;52,1167;16,1167
W³odawa;Wlodawa;51,55;23,55
Koszutka;Koszutka;50,2711;19,0211
Koluszki;Koluszki;51,75;19,8
Z³ocieniec;Zlocieniec;53,5269;16,0122
Sêdziszów Ma³opolski;Sedziszow Malopolski;50,0694;21,7014
Wo³ów;Wolow;51,3414;16,6283
B³onie;Blonie;52,2;20,6167
Wasilków;Wasilkow;53,205;23,2044
Strzelin;Strzelin;50,7833;17,0667
Brzeziny;Brzeziny;51,8;19,75
G³ubczyce;Glubczyce;50,2011;17,8247
Giera³towice;Gieraltowice;50,2167;18,7167
Pas³êk;Paslek;54,05;19,6667
Pyrzyce;Pyrzyce;53,1333;14,8833
S³awno;Slawno;54,3667;16,6833
Warka;Warka;51,7833;21,2
Wêgrów;Wegrow;52,4;22,0167
Góra Kalwaria;Gora Kalwaria;51,9733;21,2144
Golub-Dobrzyñ;Golub-Dobrzyn;53,1;19,05
Aleksandrów Kujawski;Aleksandrow Kujawski;52,8767;18,6936
Lubaczów;Lubaczow;50,1667;23,1167
D¹browa Tarnowska;Dabrowa Tarnowska;50,1667;20,9833
Drawsko Pomorskie;Drawsko Pomorskie;53,5333;15,8
Mogilno;Mogilno;52,65;17,95
Janów Lubelski;Janow Lubelski;50,7167;22,4167
Miechów;Miechow;50,3578;20,0325
Góra;Gora;51,6667;16,55
Szprotawa;Szprotawa;51,5667;15,5
Brzeszcze;Brzeszcze;50;19,15
Milicz;Milicz;51,5333;17,2833
Komorniki;Komorniki;52,3361;16,8069
Koronowo;Koronowo;53,3167;17,9333
Szyd³owiec;Szydlowiec;51,2333;20,85
RogoŸno;Rogozno;52,7492;16,9997
Wronki;Wronki;52,7;16,3833
Krosno Odrzañskie;Krosno Odrzanskie;52,0333;15,1
Wis³a;Wisla;49,6549;18,8595
Wêgorzewo;Wegorzewo;54,2167;21,75
Puck;Puck;54,7;18,4
Myœlibórz;Mysliborz;52,9333;14,8667
Nowa Dêba;Nowa Deba;50,4167;21,7667
Lubawa;Lubawa;53,5;19,75
Kie³czów;Kielczow;51,1406;17,1783
Parczew;Parczew;51,6333;22,8667
Nowe Miasto Lubawskie;Nowe Miasto Lubawskie;53,4256;19,5878
Wapienica;Wapienica;49,8083;18,9839
Ciechocinek;Ciechocinek;52,8833;18,7833
Suchanino;Suchanino;54,3667;18,65
Zdzieszowice;Zdzieszowice;50,4192;18,1236
Czarnków;Czarnkow;52,9;16,5667
